                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.70222,                0.39269,                0.84807,                0.86203,                0.64932,                0.69386,                0.46837,                0.86528,                0.54795,                 0.9099,             0.00051177,             0.00051177,             0.00051177
                     37,                 0.6524,                0.35291,                 0.8281,                0.82683,                0.66579,                 0.7016,                0.47187,                 0.8624,                0.57173,                0.92587,             0.00047876,             0.00047876,             0.00047876
                     38,                0.64037,                0.34389,                0.82287,                  0.849,                0.64911,                 0.6974,                 0.4593,                 0.8975,                0.59361,                0.93612,             0.00044576,             0.00044576,             0.00044576
                     39,                0.62487,                0.33453,                0.81997,                  0.857,                0.66382,                0.71372,                0.47562,                0.90106,                0.57027,                0.93043,             0.00041275,             0.00041275,             0.00041275
                     40,                0.62721,                0.33138,                0.81816,                0.82545,                0.64551,                0.69188,                0.44465,                 1.0198,                0.70294,                 1.0409,             0.00037974,             0.00037974,             0.00037974
                     41,                 0.6202,                0.32716,                0.81709,                0.85022,                 0.6631,                0.71177,                0.49353,                 0.8313,                0.54292,                0.90606,             0.00034674,             0.00034674,             0.00034674
                     42,                0.62056,                0.32488,                 0.8163,                0.88113,                0.67583,                0.72893,                0.52089,                 0.7137,                0.43468,                0.85537,             0.00031373,             0.00031373,             0.00031373
                     43,                0.61066,                0.31978,                0.81401,                0.87127,                0.66644,                0.72129,                0.52935,                0.68105,                0.41485,                0.84718,             0.00028072,             0.00028072,             0.00028072
                     44,                0.59869,                0.31321,                0.81324,                0.89174,                0.68706,                0.73435,                0.54233,                 0.6403,                0.38459,                0.83686,             0.00024772,             0.00024772,             0.00024772
                     45,                0.58883,                0.30862,                0.81102,                0.86171,                0.69761,                0.73428,                0.54892,                0.62936,                0.35564,                 0.8281,             0.00021471,             0.00021471,             0.00021471
                     46,                0.58103,                0.30549,                0.80964,                0.86365,                0.70761,                 0.7401,                0.55242,                0.62223,                0.35511,                0.82818,              0.0001817,              0.0001817,              0.0001817
                     47,                0.57539,                0.30238,                0.80899,                0.85665,                0.71482,                 0.7443,                0.55456,                0.62746,                0.35579,                0.83071,              0.0001487,              0.0001487,              0.0001487
                     48,                0.57574,                0.30062,                0.80823,                0.88587,                0.71084,                0.74909,                 0.5609,                0.61824,                0.34481,                0.82651,             0.00011569,             0.00011569,             0.00011569
                     49,                0.57268,                0.29838,                0.80833,                0.87239,                0.71866,                0.75258,                0.55804,                0.64227,                0.36027,                0.83222,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.56987,                0.29639,                0.80721,                 0.8746,                0.72089,                0.75363,                0.55999,                0.63376,                0.35272,                0.82934,             4.9677e-05,             4.9677e-05,             4.9677e-05
