                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.59898,                0.31476,                0.81011,                0.84371,                0.62945,                0.70971,                0.51134,                0.63954,                0.40469,                0.84051,              0.0006535,              0.0006535,              0.0006535
                     37,                0.59025,                0.31107,                0.80865,                0.89812,                0.63258,                0.72137,                0.52435,                0.62622,                0.42327,                0.83632,              0.0006436,              0.0006436,              0.0006436
                     38,                0.58972,                0.30845,                0.80848,                0.90085,                0.67491,                0.73275,                 0.5191,                0.61584,                0.37073,                0.83499,              0.0006337,              0.0006337,              0.0006337
                     39,                0.59154,                0.31259,                0.80857,                0.65174,                0.70613,                0.69546,                0.50763,                0.64088,                0.39383,                0.83416,              0.0006238,              0.0006238,              0.0006238
                     40,                0.59397,                0.31189,                0.80914,                 0.8569,                0.64458,                0.71344,                0.51662,                0.65184,                0.41647,                 0.8471,              0.0006139,              0.0006139,              0.0006139
                     41,                0.58267,                0.30895,                 0.8079,                0.86545,                0.64673,                0.72295,                0.53055,                0.61711,                 0.3759,                0.83611,               0.000604,               0.000604,               0.000604
                     42,                0.57381,                0.30493,                0.80654,                0.65825,                0.72699,                0.71452,                0.52589,                0.60868,                0.36654,                0.82947,              0.0005941,              0.0005941,              0.0005941
                     43,                0.57293,                0.30354,                0.80611,                0.89619,                0.67784,                0.73371,                0.53353,                0.63629,                0.40951,                 0.8387,              0.0005842,              0.0005842,              0.0005842
                     44,                0.57249,                 0.3021,                0.80588,                0.63172,                0.69579,                0.69187,                 0.4976,                0.67339,                0.44276,                0.86401,              0.0005743,              0.0005743,              0.0005743
                     45,                0.57436,                0.30262,                0.80587,                0.90479,                0.63817,                0.70998,                0.52543,                0.61989,                0.36094,                0.83009,              0.0005644,              0.0005644,              0.0005644
                     46,                0.57675,                 0.3051,                0.80662,                0.91467,                0.61417,                0.70342,                0.50741,                0.63745,                0.39379,                0.83888,              0.0005545,              0.0005545,              0.0005545
                     47,                0.58619,                 0.3096,                 0.8061,                0.63216,                0.68971,                0.67988,                0.50369,                0.62512,                0.37495,                0.83786,              0.0005446,              0.0005446,              0.0005446
                     48,                0.56304,                 0.2998,                0.80481,                0.66255,                0.71505,                0.70008,                 0.5243,                0.62623,                0.36624,                0.83731,              0.0005347,              0.0005347,              0.0005347
                     49,                0.57951,                0.30291,                0.80655,                0.65356,                0.71328,                 0.6956,                0.51634,                0.60846,                0.34652,                0.82801,              0.0005248,              0.0005248,              0.0005248
                     50,                0.57123,                0.30281,                0.80423,                0.67902,                 0.7282,                0.70599,                 0.5347,                0.59137,                 0.3418,                0.82567,              0.0005149,              0.0005149,              0.0005149
                     51,                0.56954,                0.29966,                0.80426,                0.86571,                0.65071,                0.72639,                0.53884,                0.60692,                0.36316,                0.83219,               0.000505,               0.000505,               0.000505
                     52,                0.56359,                0.29762,                0.80384,                0.78944,                   0.64,                0.71133,                0.53845,                0.60494,                 0.3511,                0.83162,              0.0004951,              0.0004951,              0.0004951
                     53,                0.56392,                0.29776,                0.80387,                0.91071,                0.65145,                0.72828,                 0.5439,                0.60653,                0.34535,                0.83161,              0.0004852,              0.0004852,              0.0004852
                     54,                0.55906,                0.29543,                0.80308,                0.66772,                0.73758,                0.72113,                0.53807,                0.61333,                0.35463,                0.83204,              0.0004753,              0.0004753,              0.0004753
                     55,                0.56189,                0.29684,                0.80393,                0.67991,                0.74045,                0.71018,                0.54557,                0.59078,                0.32859,                0.82334,              0.0004654,              0.0004654,              0.0004654
